,bins,counts,bins_lower
0,200 - 230,2.030597339939784,200
1,230 - 260,1.63917797334984,230
2,260 - 290,1.364426078172696,260
3,290 - 320,1.139257858345992,290
4,320 - 350,0.966590000655048,320
5,350 - 390,1.059340640428224,350
6,390 - 430,0.838255782100968,390
7,430 - 470,0.642254430127464,430
8,470 - 510,0.53083699492824,470
9,510 - 550,0.476003283364224,510
10,550 - 590,0.324335570527584,550
11,590 - 640,0.329002269384096,590
12,640 - 690,0.314418835457496,640
13,690 - 740,0.21466814739955198,690
14,740 - 790,0.17033450826268798,740
15,790 - 840,0.14875102605131998,790
16,840 - 900,0.156917749050216,840
17,900 - 960,0.10850074841390399,900
18,960 - 1020,0.07408384434712799,960
19,1020 - 1090,0.08050055527483199,1020
20,1090 - 1160,0.050750350064567996,1090
21,1160 - 2000,0.14583433926599998,1160
