,bins,counts,bins_lower
0,200 - 230,10461.919349999998,200
1,230 - 260,7878.9587999999985,230
2,260 - 290,6448.110149999999,260
3,290 - 320,4552.700249999999,290
4,320 - 350,4039.824629999999,320
5,350 - 390,4039.824629999999,350
6,390 - 430,3058.6712699999994,390
7,430 - 470,2352.53817,430
8,470 - 510,1657.5545399999996,470
9,510 - 550,1189.2767999999999,510
10,550 - 590,947.7049499999998,550
11,590 - 640,973.7203799999999,590
12,640 - 690,616.93734,640
13,690 - 740,449.69528999999994,690
14,740 - 790,353.06654999999995,740
15,790 - 840,260.1543,790
16,840 - 900,204.40694999999997,840
17,900 - 960,115.21118999999999,900
18,960 - 1020,85.47926999999999,960
19,1020 - 1090,59.46383999999999,1020
20,1090 - 1160,22.298939999999995,1090
21,1160 - 2000,92.91224999999999,1160
