,bins,counts,bins_lower
0,200 - 230,20704.943759999995,200
1,230 - 260,15381.748439999998,230
2,260 - 290,11928.203009999997,260
3,290 - 320,9380.907089999999,290
4,320 - 350,6776.460299999999,320
5,350 - 390,7617.394529999999,350
6,390 - 430,4963.961279999999,390
7,430 - 470,3559.6827599999992,430
8,470 - 510,2522.8026899999995,470
9,510 - 550,2090.0889599999996,510
10,550 - 590,1428.7717499999997,550
11,590 - 640,1273.6479599999998,590
12,640 - 690,849.0986399999998,640
13,690 - 740,440.8781399999999,690
14,740 - 790,424.5493199999999,740
15,790 - 840,342.90521999999993,790
16,840 - 900,244.93229999999994,840
17,900 - 960,130.63055999999997,900
18,960 - 1020,122.46614999999997,960
19,1020 - 1090,114.30173999999998,1020
20,1090 - 1160,57.15086999999999,1090
21,1160 - 2000,138.79496999999998,1160
