,bins,counts,error,bins_lower
0,200 - 230,23543.529420000006,1489.0749454828235,200
1,230 - 260,17876.002140000004,1297.5257073562834,230
2,260 - 290,13848.564090000003,1142.0448106179879,260
3,290 - 320,10626.613650000003,1000.4104457804896,290
4,320 - 350,8006.352750000002,868.3566458568113,320
5,350 - 390,7744.3266600000015,854.028971898137,350
6,390 - 430,5716.050630000002,733.7173782816199,390
7,430 - 470,3930.391350000001,608.4132587596522,430
8,470 - 510,3124.9037400000007,542.4991899315149,470
9,510 - 550,2193.2554200000004,454.49109436250717,510
10,550 - 590,1494.5191800000002,375.17295036914516,550
11,590 - 640,1203.3790800000002,336.6526215841248,590
12,640 - 690,902.5343100000002,291.5497225424815,640
13,690 - 740,436.7101500000001,202.80441958655072,690
14,740 - 790,378.4821300000001,188.80063980292198,740
15,790 - 840,262.02609000000007,157.09162791919442,790
16,840 - 900,252.32142000000005,154.15507687605293,840
17,900 - 960,164.97939000000002,124.65095750091231,900
18,960 - 1020,106.75137000000002,100.2691886476061,960
19,1020 - 1090,48.52335000000001,67.6014731955169,1020
20,1090 - 1160,48.52335000000001,67.6014731955169,1090
21,1160 - 2000,155.27472000000003,120.92919155544459,1160
