,bins,counts,bins_lower
0,200 - 230,11361.526650000002,200
1,230 - 260,9255.78225,230
2,260 - 290,7490.9268,260
3,290 - 320,5773.5369,290
4,320 - 350,4474.7068500000005,320
5,350 - 390,4405.666050000001,350
6,390 - 430,3374.3691000000003,390
7,430 - 470,2498.41395,430
8,470 - 510,1721.70495,470
9,510 - 550,1536.1578000000002,510
10,550 - 590,1057.1872500000002,550
11,590 - 640,1031.2969500000002,590
12,640 - 690,638.6274000000001,640
13,690 - 740,552.3264,690
14,740 - 790,284.79330000000004,740
15,790 - 840,241.64280000000002,790
16,840 - 900,172.602,840
17,900 - 960,138.0816,900
18,960 - 1020,103.56120000000001,960
19,1020 - 1090,56.095650000000006,1020
20,1090 - 1160,47.46555,1090
21,1160 - 2000,107.87625000000001,1160
