,bins,counts,bins_lower
0,200 - 230,45575.0163,200
1,230 - 260,34304.4669,230
2,260 - 290,23548.1631,260
3,290 - 320,17548.6311,290
4,320 - 350,12620.4441,320
5,350 - 390,12684.7248,350
6,390 - 430,7113.7308,390
7,430 - 470,5656.7016,430
8,470 - 510,3449.7309,470
9,510 - 550,2292.6783,510
10,550 - 590,1735.5789,550
11,590 - 640,1199.9064,590
12,640 - 690,1071.345,640
13,690 - 740,557.0994,690
14,740 - 790,385.6842,740
15,790 - 840,214.269,790
16,840 - 900,128.5614,840
17,900 - 960,107.1345,900
18,960 - 1020,0.0,960
19,1020 - 1090,64.2807,1020
20,1090 - 1160,42.8538,1090
21,1160 - 2000,85.7076,1160
