,bins,counts,bins_lower
0,200 - 230,15016.0128,200
1,230 - 260,11561.15673,230
2,260 - 290,9437.79867,260
3,290 - 320,7326.17187,290
4,320 - 350,5830.4362200000005,320
5,350 - 390,5554.75161,350
6,390 - 430,3883.0470600000003,390
7,430 - 470,3267.1559100000004,430
8,470 - 510,2205.47688,470
9,510 - 550,1706.89833,510
10,550 - 590,1137.9322200000001,550
11,590 - 640,1038.21651,590
12,640 - 690,785.99442,640
13,690 - 740,539.63796,690
14,740 - 790,369.53469,740
15,790 - 840,252.22209,790
16,840 - 900,193.56579000000002,840
17,900 - 960,99.71571,900
18,960 - 1020,82.11882,960
19,1020 - 1090,35.193780000000004,1020
20,1090 - 1160,41.05941,1090
21,1160 - 2000,70.38756000000001,1160
