,bins,counts,bins_lower
0,200 - 230,10480.166399999998,200
1,230 - 260,8280.67125,230
2,260 - 290,6289.588499999999,260
3,290 - 320,5065.165649999999,290
4,320 - 350,3743.9798999999994,320
5,350 - 390,3944.9489999999996,350
6,390 - 430,2995.9282499999995,390
7,430 - 470,2151.1137,430
8,470 - 510,1671.0208499999997,470
9,510 - 550,1209.5362499999999,510
10,550 - 590,997.4021999999999,550
11,590 - 640,893.1959999999999,590
12,640 - 690,807.5980499999998,640
13,690 - 740,476.37119999999993,690
14,740 - 790,353.55674999999997,740
15,790 - 840,204.69074999999998,790
16,840 - 900,212.13404999999997,840
17,900 - 960,111.64949999999999,900
18,960 - 1020,70.71135,960
19,1020 - 1090,78.15464999999999,1020
20,1090 - 1160,59.54639999999999,1090
21,1160 - 2000,74.43299999999999,1160
