,bins,Events/bin,bins_lower
0,1000 - 1200,0.00015289306048905113,1000
1,1200 - 1400,0.00013273133822675867,1200
2,1400 - 1600,0.00010920932892075082,1400
3,1600 - 1800,7.896674552731213e-05,1600
4,1800 - 2000,5.376459269944655e-05,1800
5,2000 - 2200,3.36028704371541e-05,2000
6,2200 - 2400,2.1841865784150162e-05,2200
7,2400 - 2600,2.1841865784150162e-05,2400
8,2600 - 2800,1.0080861131146227e-05,2600
9,2800 - 3200,4.200358804644262e-06,2800
10,3200 - 3800,5.600478406192349e-07,3200
11,3800 - 5000,2.8002392030961746e-07,3800
