,bkg,errbkg,signal1,signal2,obs
0,132100.0,4000.0,3032.3017566,266.6603618025,140642
1,69900.0,2200.0,1892.87203344,206.2198929354,73114
2,36800.0,1100.0,1246.596507663,157.7798312658,38321
3,20780.0,630.0,769.880961981,123.3317071704,21417
4,12340.0,400.0,501.622569735,93.35648907839999,12525
5,9160.0,320.0,426.5470749,97.2985801892,9515
6,5100.0,200.0,244.4029833824,75.24516449960001,5174
7,3000.0,120.0,155.86825227,53.987417011599995,2947
8,1763.0,79.0,111.8334233188,40.0,1777
9,1032.0,48.0,55.750149694,34.80125254216,1021
10,683.0,37.0,40.0,24.969441505160002,694
11,554.0,28.0,32.5779305182,28.04188562685,554
12,322.0,19.0,4.492192686175,18.46765976415,339
13,178.0,13.0,10.46888036595,16.59205722465,196
14,122.0,8.0,7.4312697741,12.16232252365,123
15,74.5,6.6,6.46543740295,8.72630663085,80
16,77.8,7.2,11.28677467494,7.2756563953799995,68
17,38.4,4.8,4.948007168532,5.001283609614,37
18,25.1,3.4,4.213692879348,4.351273348332,23
19,21.1,3.0,2.298143322699,3.7612361206,12
20,9.4,1.9,2.322888011451,2.8167558360340004,7
21,22.6,3.0,3.1508560028429997,5.499067126103999,26
