#: table_doi: 10.17182/hepdata.106058.v1/t8
#: name: Transverse mass $M_T$ for E+INVISIBLE system
#: description: $M_T$ distribution for the E+INVISIBLE system using 2016-2018 data sets. The complete set of selection criteria were applied. Two examples of SSM WPRIME boson signal samples with masses of 3.8 and 5.6 TeV are shown. The lower panel shows the ratio of data to SM prediction, and the shaded band represents the systematic uncertainties.
#: data_file: transverse_mass_$m_t$_for_e+invisible_system.yaml
#: keyword observables: N MT
#: keyword reactions: P P --> WPRIME --> E + INVISIBLE
#: keyword cmenergies: 13000
#: Process,WPRIME --> E + INVISIBLE
#: SQRT(S) [TeV],13
"Transverse mass, $M_T$ [GeV]",Data
460,3134
500,3565
540,3124
580,2364
620,1697
660,1226
700,916
740,722
780,570
820,412
860,325
900,241
940,192
980,173
1020,126
1060,109
1100,99
1140,82
1180,63
1220,47
1260,40
1300,38
1340,32
1380,20
1420,25
1460,23
1500,13
1540,16
1580,12
1620,15
1660,12
1700,8
1740,4
1780,6
1820,5
1860,3
1900,4
1940,5
1980,3
2020,0
2060,2
2100,0
2140,4
2180,0
2220,3
2260,1
2300,1
2340,0
2380,1
2420,3
2460,1
2500,0
2540,1
2580,1
2620,2
2660,0
2700,0
2740,0
2780,1
2820,0
2860,0
2900,1
2940,0
2980,0
3020,0
3060,0
3100,1
3140,0
3180,0
3220,0
3260,0
3300,0
3340,0
3380,0
3420,0
3460,0
3500,0
3540,0
3580,0
3620,0
3660,0
3700,0
3740,0
3780,0
3820,0
3860,0
3900,0
3940,0
3980,0
4020,0
4060,0
4100,0
4140,0
4180,0
4220,0
4260,0
4300,0
4340,0
4380,0
4420,0
4460,0
4500,0
4540,0
4580,0
4620,0
4660,0
4700,0
4740,0
4780,0
4820,0
4860,0
4900,0
4940,0
4980,0
5020,0
5060,0
5100,0
5140,0
5180,0
5220,0
5260,0
5300,0
5340,0
5380,0
5420,0
5460,0
5500,0
5540,0
5580,0
5620,0
5660,0
5700,0
5740,0
5780,0
5820,0
5860,0
5900,0
5940,0
5980,0
6020,0
6060,0
6100,0
6140,0
6180,0
6220,0
6260,0
6300,0
6340,0
6380,0
6420,0
6460,0
6500,0
6540,0
6580,0
6620,0
6660,0
6700,0
6740,0
6780,0
6820,0
6860,0
6900,0
6940,0
6980,0

#: Process,WPRIME --> E + INVISIBLE
#: SQRT(S) [TeV],13
