MJ_bkg,MJ_errbkg,MJ_data,MJ_higgs,MJ_axial
132100.0,4000.0,140642,3032.3017566,266.6603618025
69900.0,2200.0,73114,1892.87203344,206.2198929354
36800.0,1100.0,38321,1246.596507663,157.7798312658
20780.0,630.0,21417,769.880961981,123.3317071704
12340.0,400.0,12525,501.622569735,93.35648907839999
9160.0,320.0,9515,426.5470749,97.2985801892
5100.0,200.0,5174,244.4029833824,75.24516449960001
3000.0,120.0,2947,155.86825227,53.987417011599995
1763.0,79.0,1777,111.8334233188,40.0
1032.0,48.0,1021,55.750149694,34.80125254216
683.0,37.0,694,40.0,24.969441505160002
554.0,28.0,554,32.5779305182,28.04188562685
322.0,19.0,339,4.492192686175,18.46765976415
178.0,13.0,196,10.46888036595,16.59205722465
122.0,8.0,123,7.4312697741,12.16232252365
74.5,6.6,80,6.46543740295,8.72630663085
77.8,7.2,68,11.28677467494,7.2756563953799995
38.4,4.8,37,4.948007168532,5.001283609614
25.1,3.4,23,4.213692879348,4.351273348332
21.1,3.0,12,2.298143322699,3.7612361206
9.4,1.9,7,2.322888011451,2.8167558360340004
22.6,3.0,26,3.1508560028429997,5.499067126103999
